[2019-05-12 21:31:51]: Path: save/1557667911/ is created
[2019-05-12 21:32:09]: Start train process.
[2019-05-12 22:48:53]: | epoch  11 |   800/ 3494 batches | rec loss 0.3812 | dis loss 0.2197 |
[2019-05-12 22:49:26]: | epoch  11 |  1000/ 3494 batches | rec loss 0.3495 | dis loss 0.1714 |
[2019-05-12 22:50:00]: | epoch  11 |  1200/ 3494 batches | rec loss 0.3237 | dis loss 0.1410 |
[2019-05-12 22:50:34]: | epoch  11 |  1400/ 3494 batches | rec loss 0.2893 | dis loss 0.1354 |
[2019-05-12 22:51:07]: | epoch  11 |  1600/ 3494 batches | rec loss 0.2791 | dis loss 0.1654 |
[2019-05-12 22:51:40]: | epoch  11 |  1800/ 3494 batches | rec loss 0.3079 | dis loss 0.1288 |
[2019-05-12 22:52:12]: | epoch  11 |  2000/ 3494 batches | rec loss 0.3113 | dis loss 0.2040 |
[2019-05-12 22:52:44]: | epoch  11 |  2200/ 3494 batches | rec loss 0.3182 | dis loss 0.1948 |
[2019-05-12 22:53:16]: | epoch  11 |  2400/ 3494 batches | rec loss 0.3551 | dis loss 0.1330 |
[2019-05-12 22:53:49]: | epoch  11 |  2600/ 3494 batches | rec loss 0.3517 | dis loss 0.1608 |
[2019-05-12 22:54:21]: | epoch  11 |  2800/ 3494 batches | rec loss 0.3735 | dis loss 0.1853 |
[2019-05-12 22:54:54]: | epoch  11 |  3000/ 3494 batches | rec loss 0.3422 | dis loss 0.1816 |
[2019-05-12 22:55:25]: | epoch  11 |  3200/ 3494 batches | rec loss 0.2905 | dis loss 0.0805 |
[2019-05-12 22:55:58]: | epoch  11 |  3400/ 3494 batches | rec loss 0.2890 | dis loss 0.0675 |
[2019-05-12 22:56:15]: | end of epoch  11 | time: 575.46s |
[2019-05-12 22:56:15]: | epoch  12 |     0/ 3494 batches | rec loss 0.3143 | dis loss 0.1663 |
[2019-05-12 22:56:48]: | epoch  12 |   200/ 3494 batches | rec loss 0.2691 | dis loss 0.1435 |
[2019-05-12 22:57:22]: | epoch  12 |   400/ 3494 batches | rec loss 0.3225 | dis loss 0.1917 |
[2019-05-12 22:57:56]: | epoch  12 |   600/ 3494 batches | rec loss 0.2859 | dis loss 0.1375 |
[2019-05-12 22:58:30]: | epoch  12 |   800/ 3494 batches | rec loss 0.3521 | dis loss 0.2207 |
[2019-05-12 22:59:02]: | epoch  12 |  1000/ 3494 batches | rec loss 0.3226 | dis loss 0.1446 |
[2019-05-12 22:59:36]: | epoch  12 |  1200/ 3494 batches | rec loss 0.3219 | dis loss 0.1630 |
[2019-05-12 23:00:09]: | epoch  12 |  1400/ 3494 batches | rec loss 0.2858 | dis loss 0.1211 |
[2019-05-12 23:00:42]: | epoch  12 |  1600/ 3494 batches | rec loss 0.2691 | dis loss 0.1759 |
[2019-05-12 23:01:14]: | epoch  12 |  1800/ 3494 batches | rec loss 0.2759 | dis loss 0.1515 |
[2019-05-12 23:01:46]: | epoch  12 |  2000/ 3494 batches | rec loss 0.3070 | dis loss 0.1779 |
[2019-05-12 23:02:20]: | epoch  12 |  2200/ 3494 batches | rec loss 0.3167 | dis loss 0.1860 |
[2019-05-12 23:02:53]: | epoch  12 |  2400/ 3494 batches | rec loss 0.3368 | dis loss 0.1315 |
[2019-05-12 23:03:27]: | epoch  12 |  2600/ 3494 batches | rec loss 0.3654 | dis loss 0.1612 |
[2019-05-12 23:03:59]: | epoch  12 |  2800/ 3494 batches | rec loss 0.3675 | dis loss 0.1682 |
